Vacancy,Employer,Description,Requirements,Link
Сетевой инженер,ЕДИНЫЙ ЦУПИС,"Блок записи управления оборудованием. Блок управления работами. Блок Эксплуатации (здесь ведение и записи в оперативные журналы, нарядно-допускная система, заявки...","Monitoring: Prometheus + Grafana, Zabbix. Оркестрация и управление: ansible, python, bash. Базовое знание OS GNU/Linux. Отличные знания сетей TCP...",https://spb.hh.ru/vacancy/50888440?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Junior back-end разработчик (JavaScript/Python-Jython/JVM),Advantica Recruitment | Advantica Automation,Разработка механизмов загрузки и обработки данных. Проектирование корпоративных хранилищ данных. Работа с big data.,"Желателен опыт коммерческой разработки (Java Script, Python) / но не является обязательным требованием. Высокий уровень самостоятельности и ответственности при выполнении задач.",https://spb.hh.ru/vacancy/70460539?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Стажер-системный инженер,КРОК,"Устранение ошибок в системах (самостоятельно или с привлечением специалистов). Заниматься автоматизацией рутинных задач разработки и эксплуатации (Jenkins, ansible, python).","Понимание принципов работы компонентов Hadoop. Знание одного или нескольких скриптовых языков (Bash, Python). Настройка безопасности серверов. Опыт автоматизации процессов (ansible...",https://spb.hh.ru/vacancy/69416447?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Junior DevOPS Engineer (OnPrem Team),Just AI,"Проектировать, разрабатывать, тестировать, администрировать и обеспечивать стабильную работу высоконагруженного сервера для удаленного монитроинга качества работы средств цифрового вещания. ","Опыт практического взаимодействия (можно учебного опыта) с ansible, terraform, docker. Знакомство с Python, Bash. Знание основ функционирования любого сервера web...",https://spb.hh.ru/vacancy/68165906?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Frontend-разработчик junior,АО НИИ телевидения,"Ручное и автоматизированное тестирование десктопного ПО под управлением MacOS. Документирование результатов тестирования: занесение дефектов в багтрекинговую систему, составление отчетов о...",Знаете язык JavaScript или TypeScript. Умеете ратотать с CSS-стилями. Понимаете как работает управление устройствами через web-интерфейс. ,https://spb.hh.ru/vacancy/70229126?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
"Стажер-тестировщик (автоматическое тестирование, Python)",Лаборатория Касперского,Исследование прошивок и операционных систем мобильных и сетевых устройств. Разработка вспомогательных программных средств в процессе проведения исследований. Ведение анализа протоколов...,Опыт работы с БД на уровне написания простых запросов. Базовые знания Python. Базовые знания принципов объектно-ориентированного программирования. ,https://spb.hh.ru/vacancy/70176216?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Исследователь безопасности устройств,НеоБИТ,"Диагностики проблем с сетью (Wireshark/tcpdump), операционной системой, приложениями. Автоматизации задач с помощью Bash/Python, Ansible или другой системы управления...","Знание языков программирования на уровне, достаточном для создания удобного инструментария для исследований (Python и C/C++). Знание языка Assembly на...",https://spb.hh.ru/vacancy/68800161?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Инженер внедрения и сопровождения (DPI/PCRF),"Протей, НТЦ","Реализация защиты среды контейнеризации (поиск уязвимостей образов, безопасность среда выполнения контейнера, безопасность хостовой операционной системы и т.д.). ","Хорошие знания сетевых технологий (протоколов стека TCP/IP, принципов маршрутизации и коммутации), опыт настройки сетевого оборудования. Опыт работы в Linux. ",https://spb.hh.ru/vacancy/55188801?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Главный специалист по информационной безопасности (endpoint sеcuritу),ПАО Ростелеком,"During the internship (3-4 months), you will have the opportunity to perform real business tasks and gain new knowledge...","Опыт реализации защиты средств контейнеризации (kubernetes, k8s, docker).",https://spb.hh.ru/vacancy/70078626?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Platform Reliability Engineer,Advantage Solutions,Межкамерный трекинг. Распознавание автомобильных номеров. Распознавание лиц. Общие задачи object detection. Аналитика поведения человека. Постановка задач по сбору и разметке...,"Experience with command line tools and scripting languages (bash/python). A rigorous, detail-oriented approach to operations. English for reading...",https://spb.hh.ru/vacancy/69046930?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
